Dhanlakshmi Bank|DHANBANK.NS|27
Karnantaka Bank|KTKBANK.NS|148
BPCL|BPCL.NS|639
IOC|IOC.NS|370
Petronet LNG|PETRONET.NS|390
Balasore Alloy|BALASORE.BO|58
Enginee India|ENGINERSIN.NS|150
Simplex Infra|SIMPLEXINF.NS|320
Tata Steel|TATASTEEL.NS|437
Alicon|ALICON.NS|462
Ramratna wires|RAMRAT.BO|107
Suzlon|SUZLON.NS|18.1
Hindalco|HINDALCO.NS|180
M&M|M&M.NS|1268
Sun Pharma|SUNPHARMA.NS|580
JSW Steel|JSWSTEEL.NS|182
Indian Terrain|INDTERRAIN.NS|175
Cipla|CIPLA.NS|458
IDFC|IDFCBANK.NS|58
IIFL|IIFL.NS|403
Rico Auto|RICOAUTO.NS|54
CG Power|CGPOWER.NS|78
DCB Bank|DCBBANK.NS|172
Infratel|INFRATEL.NS|312
HCL Tech|HCLTECH.NS|813
Automotive Axel|AUTOAXLES.NS|635
Tata Coffee|TATACOFFEE.NS|115
BharatFin|BHARATFIN.NS|510
Sun TV|SUNTV.NS|538
UFO movies|UFO.NS|395
Shivatex|SHIVTEX.NS|275
SUVEN|SUVEN.NS|165
